Date,Open,High,Low,Close,Volume
22-Nov-16,141.50,142.65,141.09,142.29,1451023
21-Nov-16,141.67,141.67,139.79,141.06,898345
18-Nov-16,140.23,141.99,139.46,141.26,1331087
17-Nov-16,137.26,140.12,137.04,139.91,1589000
16-Nov-16,136.88,137.77,136.11,136.74,995493
15-Nov-16,135.78,139.01,134.63,138.85,1447648
14-Nov-16,136.75,140.58,136.75,139.95,1671311
11-Nov-16,133.31,136.16,132.70,136.00,1585239
10-Nov-16,132.15,135.20,129.26,133.71,2907861
9-Nov-16,125.45,132.08,125.08,131.54,2238643
8-Nov-16,124.31,125.40,123.38,125.13,1093988
7-Nov-16,123.13,124.94,122.92,124.88,1258341
4-Nov-16,121.28,122.57,120.31,121.81,879573
3-Nov-16,122.25,122.82,120.90,121.41,885748
2-Nov-16,122.11,122.36,120.93,121.81,1234654
1-Nov-16,123.33,123.33,121.55,122.89,959269
31-Oct-16,122.40,123.34,122.11,122.73,915184
28-Oct-16,122.37,122.53,120.97,122.07,864435
27-Oct-16,120.91,122.71,120.09,121.98,989303
26-Oct-16,118.80,120.37,118.20,120.19,589126
25-Oct-16,118.97,119.38,118.27,119.05,591755
24-Oct-16,119.21,119.70,118.65,118.92,667276
21-Oct-16,117.70,119.03,117.30,118.91,630967
20-Oct-16,117.43,119.15,117.29,118.85,1078869
19-Oct-16,116.20,118.70,114.56,117.50,1511261
18-Oct-16,115.07,115.56,113.42,115.27,831503
17-Oct-16,114.62,115.18,113.64,114.00,571359
14-Oct-16,114.66,115.33,113.58,113.87,1138814
13-Oct-16,115.49,115.49,112.25,113.17,1142944
12-Oct-16,116.31,117.39,116.03,116.86,614296
11-Oct-16,117.83,118.22,115.68,116.06,1010263
10-Oct-16,118.36,118.75,117.78,117.89,524686
7-Oct-16,118.10,118.30,116.66,117.83,440781
6-Oct-16,117.77,118.76,117.16,118.34,494720
5-Oct-16,116.89,118.58,116.62,118.06,640416
4-Oct-16,115.68,117.13,115.22,116.48,540293
3-Oct-16,115.62,116.18,114.99,115.20,591546
30-Sep-16,115.28,116.68,114.39,116.10,708905
29-Sep-16,115.33,116.81,113.88,114.54,809153
28-Sep-16,115.90,116.17,114.25,115.71,569286
27-Sep-16,113.78,115.54,113.58,115.53,447141
26-Sep-16,116.48,116.48,113.99,114.16,633808
23-Sep-16,116.04,117.53,116.01,117.12,891846
22-Sep-16,115.99,116.59,115.51,116.55,569307
21-Sep-16,116.00,116.85,115.13,115.70,534689
20-Sep-16,115.77,116.14,115.20,115.33,350519
19-Sep-16,115.33,115.96,114.51,115.03,508496
16-Sep-16,115.11,115.11,113.93,114.81,1241329
15-Sep-16,115.28,116.04,115.02,115.65,643376
14-Sep-16,115.95,117.11,115.41,115.57,779927
13-Sep-16,116.54,116.90,115.13,116.14,732539
12-Sep-16,116.52,118.33,115.66,118.13,818814
9-Sep-16,116.05,117.71,115.68,117.09,1531644
8-Sep-16,116.13,116.92,115.72,116.21,1465791
7-Sep-16,115.30,116.00,115.02,116.00,667434
6-Sep-16,117.56,117.70,115.15,115.80,905670
2-Sep-16,117.72,117.90,116.80,117.34,1068229
1-Sep-16,118.68,118.92,116.09,117.32,774554
31-Aug-16,117.96,118.60,117.22,118.33,935224
30-Aug-16,117.84,118.16,116.90,117.95,1641407
29-Aug-16,118.00,118.75,117.97,118.21,774406
26-Aug-16,117.88,118.68,116.53,117.70,801507
25-Aug-16,117.27,117.82,116.85,117.45,846058
24-Aug-16,117.89,118.58,117.17,117.20,616686
23-Aug-16,118.31,118.62,117.96,118.01,418186
22-Aug-16,117.20,117.89,116.78,117.88,333935
19-Aug-16,117.68,117.76,116.98,117.66,318379
18-Aug-16,117.58,117.90,117.10,117.90,448938
17-Aug-16,117.38,117.94,116.90,117.47,440071
16-Aug-16,117.45,118.08,117.24,117.37,525384
15-Aug-16,116.66,118.19,116.66,118.10,613919
12-Aug-16,115.61,116.35,115.50,116.31,500909
11-Aug-16,116.84,117.42,116.43,116.79,588020
10-Aug-16,117.28,117.30,116.35,116.57,542918
9-Aug-16,117.57,118.29,117.28,117.56,698207
8-Aug-16,117.58,118.21,117.12,117.73,845803
5-Aug-16,115.26,117.40,114.80,117.20,1210396
4-Aug-16,113.72,114.75,113.35,113.97,855351
3-Aug-16,112.30,114.05,112.17,113.90,800017
2-Aug-16,112.24,112.80,111.82,112.00,994904
1-Aug-16,114.43,115.50,112.51,112.78,1380697
29-Jul-16,114.69,115.72,114.22,114.56,805915
28-Jul-16,114.49,115.42,113.78,114.83,808979
27-Jul-16,114.32,115.95,114.08,114.93,1060045
